sample_token,n_lidar,n_radar,lidar_points,radar_points,box_count,max_distance,lidar_path,radar_path,scene_name
80ad351eb99e4b28bfbec1105b6ac8eb,6,6,226751,3463,31,50.0,D:\MyProjects\AV4\output\scene_night_highway\80ad351eb99e4b28bfbec1105b6ac8eb\merged_lidar.ply,D:\MyProjects\AV4\output\scene_night_highway\80ad351eb99e4b28bfbec1105b6ac8eb\merged_radar.ply,scene_night_highway
85c5ca01cfb34d3e92d1c0c265235d04,6,6,223309,3504,31,50.0,D:\MyProjects\AV4\output\scene_night_highway\85c5ca01cfb34d3e92d1c0c265235d04\merged_lidar.ply,D:\MyProjects\AV4\output\scene_night_highway\85c5ca01cfb34d3e92d1c0c265235d04\merged_radar.ply,scene_night_highway
e9f4a50a1b0a41a492edf7a4870f594c,6,6,223378,2710,62,50.0,D:\MyProjects\AV4\output\scene_rainy_highway\e9f4a50a1b0a41a492edf7a4870f594c\merged_lidar.ply,D:\MyProjects\AV4\output\scene_rainy_highway\e9f4a50a1b0a41a492edf7a4870f594c\merged_radar.ply,scene_rainy_highway
80587e2bcbc24524967ae3d9ebb2517a,6,6,224432,2675,68,50.0,D:\MyProjects\AV4\output\scene_rainy_highway\80587e2bcbc24524967ae3d9ebb2517a\merged_lidar.ply,D:\MyProjects\AV4\output\scene_rainy_highway\80587e2bcbc24524967ae3d9ebb2517a\merged_radar.ply,scene_rainy_highway
1eb6c0c7adad4cf29e8da13dcf8ef16b,6,6,234950,2658,94,50.0,D:\MyProjects\AV4\output\scene_overcast_city\1eb6c0c7adad4cf29e8da13dcf8ef16b\merged_lidar.ply,D:\MyProjects\AV4\output\scene_overcast_city\1eb6c0c7adad4cf29e8da13dcf8ef16b\merged_radar.ply,scene_overcast_city
c47d261c32ec405b836f0b832b776438,6,6,236118,3023,90,50.0,D:\MyProjects\AV4\output\scene_overcast_city\c47d261c32ec405b836f0b832b776438\merged_lidar.ply,D:\MyProjects\AV4\output\scene_overcast_city\c47d261c32ec405b836f0b832b776438\merged_radar.ply,scene_overcast_city
9d75f3c77f384353b5477c981fb46011,6,6,217028,3132,64,50.0,D:\MyProjects\AV4\output\scene_snow_city\9d75f3c77f384353b5477c981fb46011\merged_lidar.ply,D:\MyProjects\AV4\output\scene_snow_city\9d75f3c77f384353b5477c981fb46011\merged_radar.ply,scene_snow_city
d61070d1f0eb4ebdbf6a3082758cfd57,6,6,215251,3007,63,50.0,D:\MyProjects\AV4\output\scene_snow_city\d61070d1f0eb4ebdbf6a3082758cfd57\merged_lidar.ply,D:\MyProjects\AV4\output\scene_snow_city\d61070d1f0eb4ebdbf6a3082758cfd57\merged_radar.ply,scene_snow_city
32d2bcf46e734dffb14fe2e0a823d059,6,6,238046,4679,36,50.0,D:\MyProjects\AV4\output\scene_terminal_area\32d2bcf46e734dffb14fe2e0a823d059\merged_lidar.ply,D:\MyProjects\AV4\output\scene_terminal_area\32d2bcf46e734dffb14fe2e0a823d059\merged_radar.ply,scene_terminal_area
deb7b3f332f042d49e7636d6e4959354,6,6,238586,4578,36,50.0,D:\MyProjects\AV4\output\scene_terminal_area\deb7b3f332f042d49e7636d6e4959354\merged_lidar.ply,D:\MyProjects\AV4\output\scene_terminal_area\deb7b3f332f042d49e7636d6e4959354\merged_radar.ply,scene_terminal_area
